cod;rubro;eq1;eq2;marca;modelo;detalle;descripcion;venta;costo;fecha
107;BARRA;340;9690;VOLKSWAGEN;Quantum;Año 88/90;Barra fija direccion mecanica l=555mm;6.940,00;5.140,00;2023-05-03
108;BARRA;341;9309;VOLKSWAGEN;Quantum;Año 88/90;Barra regulable dir. hidr. Izq. L=555mm 14x1.50;15.945,00;11.810,00;2023-05-03
109;BARRA;342;9741;VOLKSWAGEN;Quantum;Año 88/90;Barra regulable dir. Mec. Izq l=555mm 14 x 1.50;12.905,00;9.560,00;2023-05-03
110;BARRA;340;9690;VOLKSWAGEN;Santana;Año 88/90;Barra fija direccion mecanica l=555mm;6.940,00;5.140,00;2023-05-03
111;BARRA;341;9309;VOLKSWAGEN;Santana;Año 88/90;Barra regulable dir. hidr. Izq. L=555mm 14x1.50;15.945,00;11.810,00;2023-05-03
112;BARRA;342;9741;VOLKSWAGEN;Santana;Año 88/90;Barra regulable dir. Mec. Izq l=555mm 14 x 1.50;12.905,00;9.560,00;2023-05-03
113;BARRA;330C;VOL 215;VOLKSWAGEN;Saveiro;Año 83/85;Barra de mando corta l=515mm;5.145,00;3.810,00;2023-04-26
114;BARRA;330CU;9734;VOLKSWAGEN;Saveiro;Año 94/…;Barra de mando curva l=520mm;7.035,00;5.210,00;2023-05-03
115;BARRA;331;VOL 303;VOLKSWAGEN;Saveiro;Año 2000/…;Barra de mando curva l=550mm (gol 1000);5.170,00;3.830,00;2023-04-26
116;BARRA;330L;VOL 216;VOLKSWAGEN;Saveiro;Año 85/93;Barra de mando larga l=525mm;5.145,00;3.810,00;2023-04-26
117;BARRA;336;VOL 244;VOLKSWAGEN;Saveiro;Año 95/97;Barra fija derecha l=540mm;5.105,00;3.780,00;2023-04-26
118;BARRA;335;9879;VOLKSWAGEN;Saveiro;;Barra fija derecha l=575mm;7.235,00;5.360,00;2023-05-03
119;BARRA;337;VOL 243;VOLKSWAGEN;Saveiro;Año 99/…;Barra fija izquierda l=540mm;5.105,00;3.780,00;2023-04-26
120;BARRA;338;9308;VOLKSWAGEN;Saveiro;Año 99/00;Barra regulable derecha mecanica l=520mm;12.610,00;9.340,00;2023-05-03
121;BARRA;339;7879;VOLKSWAGEN;Saveiro;Año 95/97;Barra regulable derecha mecanica l=520mm;12.475,00;9.240,00;2023-05-03
122;BARRA;333;VOL 202;VOLKSWAGEN;Saveiro;Año 95/…;Barra regulable hidraulica derecha 14 x 1.50;11.165,00;8.270,00;2023-04-26
123;BARRA;334;VOL 203;VOLKSWAGEN;Saveiro;Año 95/01;Barra regulable hidraulica izquierda 14 x 1,50;11.165,00;8.270,00;2023-04-26
124;BARRA;332;VOL 236;VOLKSWAGEN;Saveiro;Año 86/94;Barra regulable larga derecha 14 x 1.50;11.840,00;8.770,00;2023-04-26
125;BARRA;330C;VOL 215;VOLKSWAGEN;Senda;Año 83/85;Barra de mando corta l=515mm;5.145,00;3.810,00;2023-04-26
126;BARRA;330CU;9734;VOLKSWAGEN;Senda;Año 94/…;Barra de mando curva l=520mm;7.035,00;5.210,00;2023-05-03
127;BARRA;331;VOL 303;VOLKSWAGEN;Senda;Año 2000/…;Barra de mando curva l=550mm (gol 1000);5.170,00;3.830,00;2023-04-26
128;BARRA;330L;VOL 216;VOLKSWAGEN;Senda;Año 85/93;Barra de mando larga l=525mm;5.145,00;3.810,00;2023-04-26
129;BARRA;336;VOL 244;VOLKSWAGEN;Senda;Año 95/97;Barra fija derecha l=540mm;5.105,00;3.780,00;2023-04-26
130;BARRA;335;9879;VOLKSWAGEN;Senda;;Barra fija derecha l=575mm;7.235,00;5.360,00;2023-05-03
131;BARRA;337;VOL 243;VOLKSWAGEN;Senda;Año 99/…;Barra fija izquierda l=540mm;5.105,00;3.780,00;2023-04-26
132;BARRA;338;9308;VOLKSWAGEN;Senda;Año 99/00;Barra regulable derecha mecanica l=520mm;12.610,00;9.340,00;2023-05-03
133;BARRA;339;7879;VOLKSWAGEN;Senda;Año 95/97;Barra regulable derecha mecanica l=520mm;12.475,00;9.240,00;2023-05-03
134;BARRA;333;VOL 202;VOLKSWAGEN;Senda;Año 95/…;Barra regulable hidraulica derecha 14 x 1.50;11.165,00;8.270,00;2023-04-26
135;BARRA;334;VOL 203;VOLKSWAGEN;Senda;Año 95/01;Barra regulable hidraulica izquierda 14 x 1,50;11.165,00;8.270,00;2023-04-26
136;BARRA;332;VOL 236;VOLKSWAGEN;Senda;Año 86/94;Barra regulable larga derecha 14 x 1.50;11.840,00;8.770,00;2023-04-26
137;BIELETA;JV305;;AUDI;A3;;Bieleta delantera;2.050,00;1.520,00;2023-05-04
138;BIELETA;60436;700054;CHEVROLET;400;;Bieleta delantera;1.350,00;1.000,00;2023-04-05
139;BIELETA;JC001;BIE 005;CHEVROLET;Astra;Año 98/…;Bieleta delantera;3.470,00;2.570,00;2023-04-26
140;BIELETA;JC005;700072;HYUNDAY;Elantra;;Bieleta delantera;3.200,00;2.370,00;2023-05-03
141;BIELETA;JC011;700102;CHEVROLET;Blazer;Año 95/99;Bieleta delantera;2.120,00;1.570,00;2023-05-03
142;BIELETA;JC012;700103;CHEVROLET;Blazer;Año 97/…;Bieleta delantera;2.605,00;1.930,00;2023-05-03
143;BIELETA;JC010;700098;CHEVROLET;Captiva;Año 08/…;Bieleta delantera derecha;3.940,00;2.920,00;2023-05-03
144;BIELETA;JC009;700097;CHEVROLET;Captiva;Año 08/…;Bieleta delantera izquierda;3.940,00;2.920,00;2023-05-03
145;BIELETA;60436;700054;CHEVROLET;Chevy;;Bieleta delantera;1.350,00;1.000,00;2023-04-05
146;BIELETA;JC004;BIE 005;CHEVROLET;Corsa II;Año 01/…;Bieleta delantera;3.470,00;2.570,00;2023-04-26
147;BIELETA;JC007;700084;CHEVROLET;Cruze;Año 11/…;Bieleta delantera;4.345,00;3.220,00;2023-05-03
